Agency,AggregatedValue,AggregatedAchievability
Governmentwide,60,64
Broadcasting Board of Governors,52,58
Court Services and Offender Supervision Agency,63,68
Department of Agriculture,61,64
Department of Commerce,67,68
"Department of Defense, Combined",61,65
Department of Education,64,68
Department of Energy,60,64
Department of Health and Human Services,65,68
Department of Homeland Security,47,53
Department of Housing and Urban Development,57,62
Department of Justice,69,68
Department of Labor,64,67
Department of State,69,70
Department of the Interior,61,62
Department of the Treasury,58,66
Department of Transportation,64,66
Department of Veterans Affairs,57,61
Environmental Protection Agency,61,63
Equal Employment Opportunity Commission,64,67
Federal Communications Commission,61,66
Federal Energy Regulatory Commission,74,76
Federal Trade Commission,71,78
General Services Administration,66,69
National Aeronautics and Space Administration,76,78
National Archives and Records Administration,53,63
National Credit Union Administration,72,72
National Labor Relations Board,63,68
National Science Foundation,67,70
Nuclear Regulatory Commission,74,75
Office of Management and Budget,75,78
Office of Personnel Management,69,71
Pension Benefit Guaranty Corporation,63,69
Railroad Retirement Board,69,69
Securities and Exchange Commission,68,68
Small Business Administration,53,60
Social Security Administration,69,68
U.S. Agency for International Development,62,67
